_id,identifier,bridgeName,destAmount,destBlockNumber,destBlockTimeStamp,destTokenDecimals,destTokenName,destTokenSymbol,fromChainId,gasUsed,isPartialTx,isSocketTx,recipient,sender,srcAmount,srcBlockNumber,srcBlockTimeStamp,srcTokenDecimals,srcTokenName,srcTokenSymbol,toChainId,srcTxStatus,destTxStatus
65fee4dbe99dac43d6874439,184-107137-109,stargate,15299612,54991403,1711203532,6,USDCoin,USDC,8453,355326,False,False,0x460611A33B63Fb1a8c0ca5bc0fCBF6C2641aE117,0x460611a33b63fb1a8c0ca5bc0fcbf6c2641ae117,15306330,12207072,1711203491,6,USD Base Coin,USDbC,137,COMPLETED,COMPLETED
65fee4e5e99dac43d6874c0f,111-2995233-110,stargate,9994000000000000,193393746,1711203541,18,Ethereum,ETH,10,423711,False,False,0x1Ec7A67515479C1b168150cA80Be524fA72EFd6F,0x1ec7a67515479c1b168150ca80be524fa72efd6f,10000000000000000,117802357,1711203491,18,Ethereum,ETH,42161,COMPLETED,COMPLETED
65fee4e5e99dac43d6874c29,111-714000-184,stargate,57374265973280000,12207097,1711203541,18,Token,TOKEN,10,419253,False,False,0xeBB6876Aca2dD2D4DbAeA30AA5C62F844Ee80DFD,0xebb6876aca2dd2d4dbaea30aa5c62f844ee80dfd,57408711200000000,117802357,1711203491,18,Ethereum,ETH,8453,COMPLETED,COMPLETED
65fee4eee99dac43d6875386,111-718219-109,stargate,1050370103,54991410,1711203548,6,(PoS) Tether USD,USDT,10,544955,False,False,0x0173F8c1b5057F1f52371021ACc41360D6b4028F,0x0173f8c1b5057f1f52371021acc41360d6b4028f,1051421524,117802357,1711203491,6,USD Coin,USDC,137,COMPLETED,COMPLETED
65fee4e5e99dac43d6874bfb,111-2995232-110,stargate,8014256310332964,193393737,1711203538,18,Ethereum,ETH,10,477255,False,False,0xcaE18D1c71877Fc8E02c4E8bF14153E05d17c3eC,0xcae18d1c71877fc8e02c4e8bf14153e05d17c3ec,8019067750983553,117802356,1711203489,18,Ethereum,ETH,42161,COMPLETED,COMPLETED
65fee4eee99dac43d687537f,111-718218-109,stargate,1749854013,54991410,1711203548,6,USDCoin,USDC,10,536462,False,False,0x9d8f730018B959Fb3b74BC7FFcbaE43572038E3d,0x9d8f730018b959fb3b74bc7ffcbae43572038e3d,1751247000,117802356,1711203489,6,USD Coin,USDC,137,COMPLETED,COMPLETED
65fee4d0e99dac43d6873c1f,184-349111-111,stargate,57782829488000000,117802373,1711203523,18,Ethereum,ETH,8453,430956,False,False,0xAC974c22857E423cD0267E99A89244a09bB1D732,0xac974c22857e423cd0267e99a89244a09bb1d732,57817520000000000,12207070,1711203487,18,Token,TOKEN,10,COMPLETED,COMPLETED
65fee4f8e99dac43d6875af2,0x1e78a17bf55f98a9c9c5d2be364bb6bdebc277c65bc5f2e50557ea326e696499-connext,connext,208266731,193393831,1711203561,6,Tether USD,USDT,56,426798,False,False,0x7cdcdb96037831d64699a0d740ef65517735949e,0x7cdcdb96037831d64699a0d740ef65517735949e,208162500000000000000,37222431,1711203486,18,Tether USD,USDT,42161,COMPLETED,COMPLETED
65fee50ce99dac43d6876d86,102-1288992-106,stargate,8632738,43274675,1711203570,6,TetherToken,USDt,56,934738,False,False,0xeCc19E177d24551aA7ed6Bc6FE566eCa726CC8a9,0x3e975fe5b792d604281b5f31c2df6c066acc4e0e,8637919000000000000,37222431,1711203486,18,Tether USD,USDT,43114,COMPLETED,COMPLETED
65fee4d0e99dac43d6873c09,184-349110-111,stargate,60063940000000000,117802373,1711203523,18,Ethereum,ETH,8453,409529,False,False,0x8Fb3c6EAA1c6E31aE1CaA5c40e1bb0495bF1B421,0x8fb3c6eaa1c6e31ae1caa5c40e1bb0495bf1b421,60100000000000000,12207069,1711203485,18,Token,TOKEN,10,COMPLETED,COMPLETED
65fee4d0e99dac43d6873c29,184-498509-110,stargate,417058614600009019,193393650,1711203517,18,Ethereum,ETH,8453,410033,False,False,0xcb9b47ee582CEF59454265bF0b7034e6fb5C7AF9,0xcb9b47ee582cef59454265bf0b7034e6fb5c7af9,417309000000009023,12207069,1711203485,18,Token,TOKEN,42161,COMPLETED,COMPLETED
65fee4dbe99dac43d6874417,111-2995230-110,stargate,11430880601430570,193393723,1711203535,18,Ethereum,ETH,10,445386,False,False,0x0Ce6fbbA738198771873dbAcbA141f5aD27C3be8,0x0ce6fbba738198771873dbacba141f5ad27c3be8,11437743247378996,117802354,1711203485,18,Ethereum,ETH,42161,COMPLETED,COMPLETED
65fee4e5e99dac43d6874bf3,111-2995231-110,stargate,9994000000000000,193393725,1711203535,18,Ethereum,ETH,10,423711,False,False,0xCF7243Cf8A406042Fa1dB0BAC384392B092d1a5A,0xcf7243cf8a406042fa1db0bac384392b092d1a5a,10000000000000000,117802354,1711203485,18,Ethereum,ETH,42161,COMPLETED,COMPLETED
65fee4c6e99dac43d6873237,184-498508-110,stargate,395522544000009019,193393642,1711203515,18,Ethereum,ETH,8453,414336,False,False,0xB07e9e8A993b05E7b85861F09678CF13e527857a,0xb07e9e8a993b05e7b85861f09678cf13e527857a,395760000000009023,12207068,1711203483,18,Token,TOKEN,42161,COMPLETED,COMPLETED
65fee4d0e99dac43d6873b83,110-3619916-111,stargate,9994000000000000,117802370,1711203517,18,Ethereum,ETH,42161,542674,False,True,0xcEE9a22c8D729C34a0894c6Eb3C23C56f9d53261,0xcee9a22c8d729c34a0894c6eb3c23c56f9d53261,10000000000000000,193393516,1711203483,18,Ethereum,ETH,10,COMPLETED,COMPLETED
65fee4d0e99dac43d6873bc6,1212868-137-across,across,4018242416109415,12207091,1711203529,18,Wrapped Ether,WETH,137,141407,False,False,0x97acd93b83eccb47569ffe72455d9210d2dcad18,0x97acd93b83eccb47569ffe72455d9210d2dcad18,4053221250000000,54991385,1711203482,18,Wrapped Ether,WETH,8453,COMPLETED,COMPLETED
65fee4e5e99dac43d6874c17,111-713999-184,stargate,1998800000000000,12207093,1711203533,18,Token,TOKEN,10,416690,False,False,0xf9a8B394d5FBA0b0afC711c5De6aA535863578B8,0xf9a8b394d5fba0b0afc711c5de6aa535863578b8,2000000000000000,117802352,1711203481,18,Ethereum,ETH,8453,COMPLETED,COMPLETED
65fee4d0e99dac43d6873b69,110-3619915-111,stargate,17250298826491788,117802369,1711203515,18,Ethereum,ETH,42161,500588,False,False,0xbB1C49a817F378503F2E0C85c40DCd2DBb2bA185,0xbb1c49a817f378503f2e0c85c40dcd2dbb2ba185,17260655219623561,193393503,1711203480,18,Ethereum,ETH,10,COMPLETED,COMPLETED
65fee4e5e99dac43d6874b97,0xa5c7d94127f6db55a4d8fced66b8ecd84cd8630990a69f2aa9b4c00c3a18f5be-refuel,refuel-bridge,4914168853389358,33076034,1711203540,18,xDai,xDai,324,116817,False,True,0xce95d27149b663ac2b69323ca93943ff02b99c0d,0xce95d27149b663ac2b69323ca93943ff02b99c0d,1511528254814,29678040,1711203480,18,ETH,ETH,100,COMPLETED,COMPLETED
65fee4c6e99dac43d68731c8,0xcdf85cce36225e093910d862ca1dccae1720f9d599577dce62abd924ddf521b2,hop,6570263722274285,3086381,1711203497,18,Token,TOKEN,42161,378693,False,True,0x2f7c8513b5a94a630fcd9bf5effe62a189e66a61,0x2f7c8513b5a94a630fcd9bf5effe62a189e66a61,7000000000000000,193393502,1711203479,18,Ethereum,ETH,59144,COMPLETED,COMPLETED
65fee4d0e99dac43d6873bb9,111-713998-184,stargate,31101328000000000,12207091,1711203529,18,Token,TOKEN,10,416690,False,False,0xE7cAF215117D2550AB4a3eBF3569B1E157eDFb27,0xe7caf215117d2550ab4a3ebf3569b1e157edfb27,31120000000000000,117802351,1711203479,18,Ethereum,ETH,8453,COMPLETED,COMPLETED
65fee4a9e99dac43d68717f4,0x86bb0dd3f33dffa8d8bf30857bb9b4501d35cf19a65350eb7f8e83460e7b1c7f-hyphen,hyphen,10873544342883398831,37222431,1711203486,18,Tether USD,USDT,42161,932334,False,False,0x685faf0aa7680b8c7527b26c7e2992b2c82972ab,0x685faf0aa7680b8c7527b26c7e2992b2c82972ab,11151549,193393497,1711203478,6,Tether USD,USDT,56,COMPLETED,COMPLETED
65fee4a9e99dac43d68718f0,1469332-42161-across,across,349786480223465883,12207072,1711203491,18,Wrapped Ether,WETH,42161,276802,False,False,0x10be3e774b55cd521cb93fa6a4a2e8e7e34c417e,0x10be3e774b55cd521cb93fa6a4a2e8e7e34c417e,350000000000000000,193393495,1711203478,18,Wrapped Ether,WETH,8453,COMPLETED,COMPLETED
65fee4e5e99dac43d6874ba5,0xca1327b06de8ad98467d5a771ca2606e4248456cc87e5f958a55fe8876e40c6f,celer,203271964036966817,117802385,1711203547,18,Wrapped Ether,WETH,42161,596857,False,True,0x91efdd4c280a379d631f0772f1eff8e0a3a6752d,0x91efdd4c280a379d631f0772f1eff8e0a3a6752d,203318898886398756,193393498,1711203478,18,Wrapped Ether,WETH,10,COMPLETED,COMPLETED
65fee4d0e99dac43d6873c09,184-349110-111,stargate,60063940000000000,117802373,1711203523,18,Ethereum,ETH,8453,409529,False,False,0x8Fb3c6EAA1c6E31aE1CaA5c40e1bb0495bF1B421,0x8fb3c6eaa1c6e31ae1caa5c40e1bb0495bf1b421,60100000000000000,12207069,1711203485,18,Token,TOKEN,10,COMPLETED,COMPLETED
65fee4d0e99dac43d6873c29,184-498509-110,stargate,417058614600009019,193393650,1711203517,18,Ethereum,ETH,8453,410033,False,False,0xcb9b47ee582CEF59454265bF0b7034e6fb5C7AF9,0xcb9b47ee582cef59454265bf0b7034e6fb5c7af9,417309000000009023,12207069,1711203485,18,Token,TOKEN,42161,COMPLETED,COMPLETED
65fee4dbe99dac43d6874417,111-2995230-110,stargate,11430880601430570,193393723,1711203535,18,Ethereum,ETH,10,445386,False,False,0x0Ce6fbbA738198771873dbAcbA141f5aD27C3be8,0x0ce6fbba738198771873dbacba141f5ad27c3be8,11437743247378996,117802354,1711203485,18,Ethereum,ETH,42161,COMPLETED,COMPLETED
65fee4e5e99dac43d6874bf3,111-2995231-110,stargate,9994000000000000,193393725,1711203535,18,Ethereum,ETH,10,423711,False,False,0xCF7243Cf8A406042Fa1dB0BAC384392B092d1a5A,0xcf7243cf8a406042fa1db0bac384392b092d1a5a,10000000000000000,117802354,1711203485,18,Ethereum,ETH,42161,COMPLETED,COMPLETED
65fee4c6e99dac43d6873237,184-498508-110,stargate,395522544000009019,193393642,1711203515,18,Ethereum,ETH,8453,414336,False,False,0xB07e9e8A993b05E7b85861F09678CF13e527857a,0xb07e9e8a993b05e7b85861f09678cf13e527857a,395760000000009023,12207068,1711203483,18,Token,TOKEN,42161,COMPLETED,COMPLETED
65fee4d0e99dac43d6873b83,110-3619916-111,stargate,9994000000000000,117802370,1711203517,18,Ethereum,ETH,42161,542674,False,True,0xcEE9a22c8D729C34a0894c6Eb3C23C56f9d53261,0xcee9a22c8d729c34a0894c6eb3c23c56f9d53261,10000000000000000,193393516,1711203483,18,Ethereum,ETH,10,COMPLETED,COMPLETED
65fee4d0e99dac43d6873bc6,1212868-137-across,across,4018242416109415,12207091,1711203529,18,Wrapped Ether,WETH,137,141407,False,False,0x97acd93b83eccb47569ffe72455d9210d2dcad18,0x97acd93b83eccb47569ffe72455d9210d2dcad18,4053221250000000,54991385,1711203482,18,Wrapped Ether,WETH,8453,COMPLETED,COMPLETED
65fee4e5e99dac43d6874c17,111-713999-184,stargate,1998800000000000,12207093,1711203533,18,Token,TOKEN,10,416690,False,False,0xf9a8B394d5FBA0b0afC711c5De6aA535863578B8,0xf9a8b394d5fba0b0afc711c5de6aa535863578b8,2000000000000000,117802352,1711203481,18,Ethereum,ETH,8453,COMPLETED,COMPLETED
