_id,destTransactionHash,identifier,srcTransactionHash,bridgeName,destAmount,destBlockHash,destBlockNumber,destBlockTimeStamp,destTokenAddress,destTokenDecimals,destTokenLogoURI,destTokenName,destTokenSymbol,fromChainId,gasUsed,isPartialTx,isSocketTx,metadata,recipient,sender,socketContractVersion,srcAmount,srcBlockHash,srcBlockNumber,srcBlockTimeStamp,srcTokenAddress,srcTokenDecimals,srcTokenLogoURI,srcTokenName,srcTokenSymbol,to,toChainId,srcTxStatus,destTxStatus,isMultiBridge,amountOutMin
65ff0f64e99dac43d6ab80f3,0xdcd4cd22878a14d74618303e994a7c3b671faa48e5ec9be0491637f466ccfb9e,110-775086-184,0xf4649cebfdd1f35ef74a7d77c17a8fbf2c38fa0451262950e5d87925d71063f0,stargate,21082343000000000,0xe17c83fa644f90bff35de5019cf1e5ed998de3738ee0e47ac0385bfcc009b31f,12212541,1711214429,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://movricons.s3.ap-south-1.amazonaws.com/placeholder.png,Token,TOKEN,42161,535231,False,False,no-refund,0xC65FB212fc204c9fD97f4d78be9156e87E1b1166,0xc65fb212fc204c9fd97f4d78be9156e87e1b1166,,21095000000000000,0x364447b1105cd0628ecf2b98a48d4dfebe0cd83f880aceb7092371415f3f2c2b,193437018,1711214406,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://maticnetwork.github.io/polygon-token-assets/assets/eth.svg,Ethereum,ETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,8453,COMPLETED,COMPLETED,,
65ff0f5ae99dac43d6ab783c,0x89897cf5264866fd1dcbe59107cc3d49dc5de255ad2d4c5bc6a7fe3dcf14c0c3,1225958-8453-across,0xcb71cd9ea4db59c0c60064f67e5f4556244024da91322d2d731d8c9318dfab1c,across,17982523967439281,0x386ddc8af69e226e5435756dd949a5e4af4637ac30a48d964f360d429d3f026e,29688190,1711214406,0x5aea5775959fbc2557cc8789bc1bf90a239d9a91,18,https://movricons.s3.ap-south-1.amazonaws.com/placeholder.png,Wrapped Ether,WETH,8453,89691,False,False,no-refund,0x0c348105e6344ae875937cdd3a8544e1283a018a,0x0c348105e6344ae875937cdd3a8544e1283a018a,,18060000000000000,0x2d4cfe829206eb188b55d754f242485967e2c3182deb254f6579a2abf0140ee8,12212529,1711214405,0x4200000000000000000000000000000000000006,18,https://movricons.s3.ap-south-1.amazonaws.com/placeholder.png,Wrapped Ether,WETH,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,324,COMPLETED,COMPLETED,,
65ff0f64e99dac43d6ab80dd,0xa9a98065b38e1160042aab47321190df0d98969b143761d2fa106475959c35db,110-775085-184,0x57550196511bde35a1a14dcea8aea1daf4895637fba15e61d2690c15295cc05a,stargate,11875709602413925,0xe17c83fa644f90bff35de5019cf1e5ed998de3738ee0e47ac0385bfcc009b31f,12212541,1711214429,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://movricons.s3.ap-south-1.amazonaws.com/placeholder.png,Token,TOKEN,42161,525138,False,False,no-refund,0x90e5915D4d1707934e4e8ef29001613805cBB0De,0x90e5915d4d1707934e4e8ef29001613805cbb0de,,11882839305997522,0x6dbf2b30b6ddfe73310e20701d40ce67ffa877f772154e31983119d306075097,193437012,1711214405,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://maticnetwork.github.io/polygon-token-assets/assets/eth.svg,Ethereum,ETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,8453,COMPLETED,COMPLETED,,
65ff0f83e99dac43d6ab9932,0xce11b101273218a2070f70f901569453fbc509240a6b5fe1aaec2bd47bec543a,0xf1be479834361c9aad339c327dc4461c31902e1ae927e7a631ed0f79f3abfa0f,0x49707ae9a75841c8f5b59ad766a62ad69cd4af3792cb7c88f51ae67ddef76763,hop,137971967701997860,0xc9895ee73f968457577b6c139037c0fec9123d9edb35806c73cf89fe968fd25f,19498747,1711214435,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://maticnetwork.github.io/polygon-token-assets/assets/eth.svg,Ethereum,ETH,8453,233188,False,True,,0xb780e85f3aa10aa9c9123cdf282233f9e185ba99,0xb780e85f3aa10aa9c9123cdf282233f9e185ba99,v2,142756637568603450,0x2d4cfe829206eb188b55d754f242485967e2c3182deb254f6579a2abf0140ee8,12212529,1711214405,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://movricons.s3.ap-south-1.amazonaws.com/placeholder.png,Token,TOKEN,0x3a23f943181408eac424116af7b7790c94cb97a5,1,COMPLETED,COMPLETED,,0
65ff0f83e99dac43d6ab9961,0xfaa0c525a7445c15c8f05babcbd293ac4bcc2d65517fa4666022afa8c1ea04b1,111-2996840-110,0xf11cb2c700c98c5124cc3a571588f317c3304f1f978acc0b21c6f1b348e4d336,stargate,9987293743010568,0x5306b55ca2d9a74ca2467bb6a2250fdda126b45a344339c180e40b91c483b95d,193437214,1711214455,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://maticnetwork.github.io/polygon-token-assets/assets/eth.svg,Ethereum,ETH,10,425761,False,False,no-refund,0x7E1bbddE7D40F2b5049516C4d6b4dE1Fd1710495,0x7e1bbdde7d40f2b5049516c4d6b4de1fd1710495,,10000000000000000,0x21bd5048182ab693c909fda367d50014f3a49078dcc8cd1ae905bb91c62dc3a7,117807814,1711214405,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://maticnetwork.github.io/polygon-token-assets/assets/eth.svg,Ethereum,ETH,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,42161,COMPLETED,COMPLETED,,
65ff0f83e99dac43d6ab9965,0xc437a7884e8190c36140321f4ac133075cff61f964cec9cbbaaa6c80b0964ba1,111-715170-184,0x6ce551ef023d55c87cad8cc32bad53c61ade413ba4ed8842f31456c76f08b360,stargate,4312899801353879,0xd8517a209b1e1302c2bd560733769983a1ce4477e5896c57038b783455ec33d8,12212554,1711214455,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://movricons.s3.ap-south-1.amazonaws.com/placeholder.png,Token,TOKEN,10,698852,False,False,no-refund,0x63eBc5fdE3588cb9c72375f16867cD6C748C4390,0x63ebc5fde3588cb9c72375f16867cd6c748c4390,,4315489094810765,0x21bd5048182ab693c909fda367d50014f3a49078dcc8cd1ae905bb91c62dc3a7,117807814,1711214405,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://maticnetwork.github.io/polygon-token-assets/assets/eth.svg,Ethereum,ETH,0x69460570c93f9de5e2edbc3052bf10125f0ca22d,8453,COMPLETED,COMPLETED,,
65ff0f64e99dac43d6ab806f,0xb9f72248e3561099d91dbfba8635b025169269248d250297a2fe1d7851300686,0x963767b1b1b858daf06c8e21fb52c6c4057c8bab001b60f01672489a64a05fca-hyphen,0x963767b1b1b858daf06c8e21fb52c6c4057c8bab001b60f01672489a64a05fca,hyphen,99928828164032388,0xed2fb2599c733c39bca8a585a1a781617ef549645128f28912ef8296d3cefb64,43279916,1711214412,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,18,,Wrapped Ether,WETH.e,42161,256011,False,True,0x00000000000000000000000000000000000000000000000000000000000000cd,0xb332b8025ed9f8fc50b73a121dfdf4ff745903f7,0xb332b8025ed9f8fc50b73a121dfdf4ff745903f7,v2,100040216428495767,0xc27f947017c8b2d8c5011e6afb66dae3cddb85bc39db270389da4a28fd8400e9,193437010,1711214404,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://maticnetwork.github.io/polygon-token-assets/assets/eth.svg,Ethereum,ETH,0x3a23f943181408eac424116af7b7790c94cb97a5,43114,COMPLETED,COMPLETED,,
65ff0f64e99dac43d6ab80bd,0x7b873c8cec70924e38e3f8c60cf93a697b0b404f31fb868ba31f5296e8fd4346,110-3621467-111,0x74d39217f55ae4bdbd0cbe39c7d6a0e285b70b39d29b126744781dd555e81d59,stargate,412752200000000000,0xe211b5fc44277435fb6c75727c355f50304dc9cba2600cc5ad86c898969b3e86,117807822,1711214421,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://maticnetwork.github.io/polygon-token-assets/assets/eth.svg,Ethereum,ETH,42161,534878,False,False,no-refund,0xffC0895625a148aC8182390872Ae3C1673fa5C22,0xffc0895625a148ac8182390872ae3c1673fa5c22,,413000000000000000,0x187ae0cd1f35ac3dd02d200f34750293806399d751046eee3afbf467332466b3,193437011,1711214404,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18,https://maticnetwork.github.io/polygon-token-assets/assets/eth.svg,Ethereum,ETH,0xbf22f0f184bccbea268df387a49ff5238dd23e40,10,COMPLETED,COMPLETED,,
65ff0fa0e99dac43d6abafbf,0xfae5642fcec3ebbcb3a308f44daae3ac420a8260a76a5c6f4a9d2542e9d7e3d2,102-382522-111,0xdc194e02d4fdf01c1ddd512ab68928a22d6b43ac24373a79ac5c0b9f4e60d3fd,stargate,238967060,0xb8fdad76ba3228bd89d302a8cca89c532b7d376b108301e15205cb043014df49,117807848,1711214473,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6,,USD Coin,USDC,56,804927,False,False,no-refund,0xeCc19E177d24551aA7ed6Bc6FE566eCa726CC8a9,0x7f9f95d654711267d20d68b3317bffe422c9e41f,,239206265000000000000,0x0276da9e0aed7e86334d23a3993a78c60d4436b57643ef98487bdbb9e9f3426c,37226063,1711214404,0x55d398326f99059fF775485246999027B3197955,18,,Tether USD,USDT,0xca10e8825fa9f1db0651cd48a9097997dbf7615d,10,COMPLETED,COMPLETED,,
65ff0f5ae99dac43d6ab7866,0xb66be7905facdf3c2ba40b11f88283d9bc10c2003222a936c53de2ae24205533,1469771-42161-across,0x78929a762bd45e5336a0a2c48c75d66ba692f0e7fc85600c9caa417966017cb8,across,14812291633415815,0xc10bc54ede0891c27fad99c73198859654a6dc72645a17bdf3971027a8bd4fb4,12212528,1711214403,0x4200000000000000000000000000000000000006,18,https://movricons.s3.ap-south-1.amazonaws.com/placeholder.png,Wrapped Ether,WETH,42161,376800,False,False,no-refund,0xcf2d47fd6ee2f57945eecc590242eb459fffe752,0xcf2d47fd6ee2f57945eecc590242eb459fffe752,,14868750000000000,0x062bac8bb543ff51d8d8574884d537ba66f225b01291ba4ba965cf67a79da362,193436999,1711214401,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,,Wrapped Ether,WETH,0x23981fc34e69eedfe2bd9a0a9fcb0719fe09dbfc,8453,COMPLETED,COMPLETED,,
