,defillamaId,name,disabled,displayName,module,category,logo,change_1d,change_7d,change_1m,change_7dover7d,change_30dover30d,total24h,total48hto24h,total7d,total30d,total14dto7d,total60dto30d,total1y,average1y,totalAllTime,breakdown24h,chains,protocolType,methodologyURL,methodology,latestFetchIsOk,versionKey,dailyVolume,totalVolume7d,totalVolume30d,parentProtocol
266,644,PadSwap,False,PadSwap,padswap,Dexes,https://icons.llamao.fi/icons/protocols/padswap.svg,-84.07,-55.86,-72.73,22.66,57.45,874.0,5487.0,33018.0,117112.0,26918.0,74379.08022182155,883000.5451625761,67923.11885865963,1782015572.0,"{'bsc': {'padswap': 633}, 'moonbeam': {'padswap': 241}}","['BSC', 'Moonbeam']",protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/padswap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,874.0,1980.0,3205.0,
267,421,Paint Swap,False,Paint Swap,paint-swap,Dexes,https://icons.llamao.fi/icons/protocols/paint-swap.png,-18.13,30.47,57.96,305.26,68.49,6903.0,8432.0,60290.0,88684.0,14877.0,52635.71220786488,900401.2414039905,69261.63395415309,7087379.0,{'fantom': {'paint-swap': 6903}},['Fantom'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/paint-swap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,6903.0,5291.0,4370.0,
268,1698,Pandora Swap,False,Pandora Swap,pandora,Dexes,https://icons.llamao.fi/icons/protocols/pandora-swap.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397403.7275882284,107492.59442986384,190837345.97033286,{'bsc': {'pandora': 0}},['BSC'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pandora,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,0.0,0.0,0.0,
269,1987,Pangea Swap,False,Pangea Swap,pangea-swap,Dexes,https://icons.llamao.fi/icons/protocols/pangea-swap.png,-67.04,-77.43,-65.79,-21.66,31.27,66290.0,201110.0,919121.0,4772177.0,1173272.0,3635380.8981179446,533445010.722554,41034231.594042614,,{'klaytn': {'pangea-swap': 66290}},['Klaytn'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pangea-swap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,66290.0,293734.0,193777.0,
270,246,Pangolin,False,Pangolin,pangolin,Dexes,https://icons.llamao.fi/icons/protocols/pangolin.png,8.29,-60.06,17.9,-36.48,219.54,2824791.0,2608617.0,45718926.0,173066029.0,71973670.0,54161718.750545084,769482947.0884416,59190995.92988017,17373600335.0,{'avax': {'pangolin': 2824791}},['Avalanche'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pangolin,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,2824791.0,7073310.0,2395890.0,
271,1452,PayCash,False,PayCash,paycash,Dexes,https://icons.llamao.fi/icons/protocols/paycash.png,69.75,38.58,-49.84,449.77,155.69,225398.0,132785.0,7304755.0,10117503.0,1328687.0,3956874.5305999964,107738832.35399997,8287602.488769232,601139567.0,{'eos': {'paycash': 225398}},['EOS'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/paycash,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,225398.0,162646.0,449369.0,
272,3121,PearlFi,False,PearlFi,pearlfi,Dexes,https://icons.llamao.fi/icons/protocols/pearlfi.jpg,28.67,0.78,87.66,-31.77,35.02,33340.0,25911.0,367109.0,1791316.0,538030.0,1326672.5460455888,0.0,0.0,,{'polygon': {'pearlfi': 33340}},['Polygon'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pearlfi,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,33340.0,33083.0,17766.0,
273,1432,PegaSys V2,False,PegaSys V2,pegasys,Dexes,https://icons.llamao.fi/icons/protocols/pegasys-v2.png,0.0,948.69,1045.32,16.54,214.2,16779.0,16779.0,55144.0,177465.0,47316.0,56481.15451148286,3562951.7735944125,274073.2133534164,31387882.0,{'syscoin': {'pegasys': 16779}},['Syscoin'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pegasys,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,16779.0,1600.0,1465.0,parent#pegasys
274,3178,PegaSys V3,False,PegaSys V3,pegasys-v3,Dexes,https://icons.llamao.fi/icons/protocols/pegasys-v3.png,79.56,-65.94,122.89,-40.3,204.39,66765.0,37182.0,744766.0,2511855.0,1247472.0,825222.1910545803,0.0,0.0,8609290.0,{'rollux': {'pegasys-v3': 66765}},['Rollux'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pegasys-v3,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,66765.0,196020.0,29954.0,parent#pegasys
275,1575,Penguin,False,Penguin,penguin,Dexes,https://icons.llamao.fi/icons/protocols/penguin.png,,,,,,,,,,,,,,4442.336766848495,,['Solana'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/penguin,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,
