,defillamaId,name,displayName,disabled,logo,address,url,description,audits,category,twitter,audit_links,forkedFrom,gecko_id,total24h,total48hto24h,total14dto7d,totalAllTime,change_1d,module,protocolType,methodologyURL,latestFetchIsOk,childProtocols
0,2116,0x,0x - RFQ,False,https://icons.llamao.fi/icons/protocols/0x.png,0xe41d2489571d322189246dafa5ebde1f4699f498,https://www.0x.org/,"Open-source, decentralized exchange infrastructure that enables the exchange of tokenized assets on multiple blockchains.",0,DEX Aggregator,0xProject,['https://docs.0x.org/developer-resources/audits'],[],,19329183,14782720,9194482.105675697,,30.76,0x,protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/0x,True,
1,2345,10KSwap,10KSwap,False,https://icons.llamao.fi/icons/protocols/10kswap.png,,https://10kswap.com/,"An AMM that advances with Ethereum, deployed on StarkNet Mainnet",0,Dexes,10KSwap,,[],,80396,88376,1644277.0,22201832.0,-9.03,10kswap,protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/10kswap,True,
